Past,Present
Andhra State,Andhra Pradesh
Madhya Bharat,Madhya Pradesh
Madras State,Tamil Nadu
Mysore State,Karnataka
Orissa,Odisha
Tipperah,Tripura
Travancore-Cochin,Kerala
United Provinces,Uttar Pradesh
Uttaranchal,Uttarakhand
